id,中文名称【所有用到道具名称的地方都是读这里】,插件用【作为插件json文件的名称，不能有空格】,家园图鉴解锁需要的碎片数量,"道具类型【会影响道具的功能，无0，方块1，杂物2，工具3，一组物品4，怪物5，帐号物品6，弓7，投掷8，装备9，枪械10，食物11，12工具+投掷物，13工具+食物，14方块+食物，16机械，17地图通行证，18乐器，19喷漆贴图，20气泡，21武器皮肤，22播报，23称号，24特长碎片,25头像，26动作，27心情框，28背景】",描述中的解锁途径-String表ID,类型描述-String表ID,描述【所有道具tips等用到道具描述的地方，都是读的这里】,获取方式(工匠台和冶炼台的内容可读取并显示在tips上，无需写在这里了),冒险背包最大堆叠数目/做了防作弊的处理，获得超过这个数量会宕机
27311,酷玩主义 酷维（永久）,,,"6",,,使用：永久解锁该装扮。 如果已经永久解锁了该装扮，则获得一些迷你豆。,,64
28000,以上为永久装扮道具预留,,,"6",,,游戏版本过低,,9999
30000,以上为0预留,,,"6",,,游戏版本过低,,9999
32000,以上为0预留,,,"6",,,游戏版本过低,,9999
32001,樱桃-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32002,旧城-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32003,粉咩羊-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32004,萌虎妹-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32005,墨道-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32006,糖果-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32007,小烤拉-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32008,小仙仙-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32009,羊家堡-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32010,忆涵-动态（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32011,樱桃（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32012,旧城（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32013,粉咩羊（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32014,萌虎妹（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32015,墨道（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32016,糖果（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32017,小烤拉（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32018,小仙仙（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32019,羊家堡（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32020,忆涵（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
32021,游戏版本过低（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,参与游戏版本过低活动获得,64
32022,游戏版本过低（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,参与游戏版本过低活动获得,64
32023,脆脆法棍（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32024,鲜甜蘑菇（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32025,仙踪奇缘（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买童梦仙踪后获得,64
32026,奇迹舞步（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,巴啦啦小魔仙正版授权，参与巴啦啦小魔仙活动获得,64
32027,飞越彩灵堡（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,巴啦啦小魔仙正版授权，参与巴啦啦小魔仙活动获得,64
32028,樱桃生日蛋糕（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
32029,草莓生日蛋糕（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
32030,糖果生日蛋糕（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
32031,巧克力生日蛋糕（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
32032,珍珠礼盒生日蛋糕（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
32033,光韵跃动（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡投放获得,64
32034,颂歌悠扬（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡投放获得,64
32035,云鸾柳烟（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买瑶月仙子换装皮肤获得,64
32036,月影流光（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动限时投放获得,64
32037,纯真祈愿（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买礼包获得,64
32038,月影心铃（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买龙响无双换装皮肤获得,64
32039,欢乐派对（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动限时投放获得,64
32040,莺与歌（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买商城礼包获得,64
32041,清香甜莓（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
32042,暖融盛宴（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
32043,童星彩梦（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,迷你星工厂活动获取,64
32044,灵狐凤仙（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,会员专属装扮头像框,64
32045,仙剑盔鸿（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,会员专属装扮头像框,64
32046,大会员头像框（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,会员专属头像框,64
32047,童星彩梦（7天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,迷你星工厂活动获取,64
32048,觉醒者桂冠（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,电影《觉醒》官方活动获得,64
32049,童趣甜心（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32050,一起奏乐（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,2021年回顾纪念头像框,64
32051,2021年度优秀创作者（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
32052,2021年度创作者专属（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,开发者年度颁奖活动获取,64
32053,2021年度人气创作者（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
32054,龙腾虎跃（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买叶小龙换装皮肤获得,64
32055,辉煌之翼（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买臻藏皮肤米兰达获得,64
32056,幻境花园（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买花幽幽换装霓裳物语获得,64
32057,昆虫学者（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
32058,林间遇蝶（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
32059,金玉满堂（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买虎心玉/活动获得,64
32060,金虎贺岁（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
32061,科技赛博（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
32062,迎春送福（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获取,64
32063,福满乾坤（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买虎啸丰/活动获得,64
32064,迷你世界6周年（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,周年庆活动获得,64
32065,风纪小队（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,风纪小队玩家专属,64
32066,随心涂鸦（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
32067,潮酷街头（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
32068,花粉萌萌（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,花小楼官方粉丝团专属,64
32069,迷你护卫（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,迷你世界官方粉丝团专属,64
32070,星月能量（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买殷小敏换装色彩魔法获得,64
32071,太阳魔法（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买彩俐公主换装幻彩丽影获得,64
32072,银河猎人（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买银享卡获得,64
32073,缤纷乐园（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
32074,闪耀星光（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获取,64
32075,星朋友纪念头像框（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,星朋友活动纪念道具,64
32076,狐之言（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买绮梦灵狐·华阳获得,64
32077,华丽攻击（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买施巧灵换装获得,64
32078,春日宴（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32079,霓彩甜心（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32080,勇战狂沙（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32081,绿洲冒险家（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32082,狐之言-不用（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买绮梦灵狐·华阳获得,64
32083,白昼雪姬（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32084,云朵绒绒（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32085,时光梦旅（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
32086,蒸汽玩酷（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
32087,酷乐主义（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32088,粉梦幻想（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32089,翎光溢彩（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买暮光落霞 浣溪获得,64
32090,MWGT入围奖（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32091,MWGT玩家评选奖（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32092,MWGT官方评审奖（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32093,MWGT2023（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,参与MWGT2023赛事纪念头像,64
32094,版本过低,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32095,奶油甜橙（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32096,池塘盛夏（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32097,部落雄鹰（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,西瓜视频联动活动获得,64
32098,部落酋长（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,西瓜视频联动活动获得,64
32099,雪裙圣洁（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
32100,笙歌梦屿（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡获得,64
32101,联通你我（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,订阅联通专属大会员权益获得,64
32102,缤纷彩虹（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,集齐追光计划“缤纷彩虹”主题获得,64
32103,互动剧-美食村（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,参与美食村互动剧活动获得,64
32104,2022年度创作者专属（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,开发者年度活动奖励,64
32105,2022年度人气创作者（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,开发者年度活动奖励,64
32106,2022年度优秀创作者（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,开发者年度活动奖励,64
32107,雪人圆圆（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡购买获得,64
32108,爆竹声声（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡购买获得,64
32109,云海星梦（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32110,星河蓝海（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
32111,猫儿叮当（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
32112,潮流线条（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
32113,秘境花环（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买”秘境精灵 菲丽茜亚“获得,64
32114,幻境水幕（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
32115,福气旺汪（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
32116,霓虹闪烁（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
32117,湛蓝星光（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,积分商城兑换获得,64
32118,大展宏兔（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,限时活动获得,64
32119,情报参谋（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,限时活动获得,64
32120,福气元宵（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,限时活动获得,64
32121,彩虹童趣（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32122,沙漠探险（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32123,2023（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32124,琉光萌兔（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,追光计划获得,64
32125,糖兔绒绒（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买皮肤”唐可馨“获得,64
32126,糖画大师（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买皮肤”唐可翼“获得,64
32127,迷你星工场（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,下载“迷你星工场”，了解获取方式,64
32128,兔贺新春（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32129,凹凸世界（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32130,自然律动（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32131,探索追寻（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32132,7岁生日（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,7周年活动获得,64
32133,雪域高原（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,7周年活动获得,64
32134,杏花疏影（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,追光计划收集获得,64
32135,礼堂庆典（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,7周年活动获得,64
32136,爱奇艺观影达人（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32137,沧海泣珠（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,获得沧海帝姬 灵汐即可解锁,64
32138,假面卡牌（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,解锁悦享卡获得,64
32139,礼遇舞会（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,解锁悦享卡获得,64
32140,粉墨夜宴（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32141,莲笙万物（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买莲笙装扮获得,64
32142,赤焰天绫（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买莲笙装扮获得,64
32143,侠粽端阳（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32144,移动地带（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32145,电信生活（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32146,星舞跃动（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32147,慵懒暖阳（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,运营活动获得,64
32148,夏日晴歌（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32149,情谊传递（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,解锁悦享卡获得,64
32150,信鸽使者（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,解锁悦享卡获得,64
32151,铃梦奇缘（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,盛夏童话乐园活动获得,64
32152,蓝屿樱茶（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,盛夏童话乐园活动获得,64
32153,玄丘校尉（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,获得炎瑞后赠送,64
32154,龙族后裔（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡限时获得,64
32155,剑龙丝诺（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,悦享卡限时获得,64
32156,云上庆典（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买辛西娅装扮即可获得,64
32157,花小楼x深圳（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,花小楼x深圳用户面对面活动获得,64
32158,动态官方认证—达人（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,入驻动态官方发放限定头像框,64
32159,动态官方认证—开发者（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,入驻动态官方发放限定头像框,64
32160,屠龙少年（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买瓦伦汀装扮获得,64
32161,动态认证-闪耀主播（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,入驻动态官方限定主播头像框,64
32162,海外预留ID,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32163,狼烟征战（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买花木兰获得,64
32164,木兰花钿（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买花木兰获得,64
32165,趣味童年（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32166,心动礼物（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32167,喵喵炸弹（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32168,汪汪爆破（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32169,迷你小镇（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,迷你小镇活动获得,64
32170,面对面头像框（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,官方面对面线下活动获得,64
32171,双蛋快乐（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,2024年新年活动获得,64
32172,冰雪世界（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买冰晶公主 雪糯儿获得,64
32173,开学（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32174,春节（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32175,放假啦（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32176,喜羊羊（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买喜羊羊装扮获得,64
32177,懒羊羊（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买懒羊羊装扮获得,64
32178,灰太狼（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买灰太狼装扮获得,64
32179,喜羊羊与灰太狼（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32180,虚空之镜（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,获得星莉奈装扮自动解锁,64
32181,万世兴龙（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32182,追潮逐月（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买伊希斯装扮获得,64
32183,炙热战甲（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买幻-猩红战机装扮获得,64
32184,海月凝光（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买海伦娜装扮获得,64
32185,夜之探险（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32186,熊熊暗影（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32187,世界和平（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,一战老兵福利活动获取,64
32188,海外预留,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32189,海外预留,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32190,八周年（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,参加运营活动获得,64
32191,苏州园林（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,参加运营活动获得,64
32192,迷你交友卡（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,参加“迷你交友卡”活动获得,64
32193,风纪小队五周年（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,加入风纪小队可获取,64
32194,漫野花时（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32195,花盈佳期（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32196,迷你交友（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,参加“迷你交友卡”活动获得,64
32197,寒霜碧霞（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32198,星眠之境（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32199,月梦之域（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
32200,远山黛影（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32201,虎豹集结（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32202,白虎勇士（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32203,黄豹勇士（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,活动获得,64
32204,花织绘梦（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32205,奇遇花海（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32206,甜厨魔法（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32207,巧洁善戏（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
32208,酷玩主义（30天）,,,,,,使用：解锁该头像框，解锁后可在个人中心切换。,,64
33000,以上为头像框30天道具预留,,,"6",,,游戏版本过低,,9999
33001,樱桃-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33002,旧城-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33003,粉咩羊-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33004,萌虎妹-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33005,墨道-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33006,糖果-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33007,小烤拉-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33008,小仙仙-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33009,羊家堡-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33010,忆涵-动态,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33011,樱桃,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33012,旧城,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33013,粉咩羊,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33014,萌虎妹,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33015,墨道,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33016,糖果,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33017,小烤拉,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33018,小仙仙,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33019,羊家堡,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33020,忆涵,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,代言人活动获得,64
33021,游戏版本过低,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,参与游戏版本过低活动获得,64
33022,游戏版本过低,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,参与游戏版本过低活动获得,64
33023,脆脆法棍,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
33024,鲜甜蘑菇,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买悦享卡获得,64
33025,仙踪奇缘,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,购买童梦仙踪后获得,64
33026,奇迹舞步,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,巴啦啦小魔仙正版授权，参与巴啦啦小魔仙活动获得,64
33027,飞越彩灵堡,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,巴啦啦小魔仙正版授权，参与巴啦啦小魔仙活动获得,64
33028,樱桃生日蛋糕,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
33029,草莓生日蛋糕,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
33030,糖果生日蛋糕,,,"6",,,使用：解锁该头像框，解锁后可在个人中心切换。,生日派对赠送的祝福礼物,64
